name,COUNT,AREA,MIN (Band 1),MAX (Band 1),MEAN (Band 1),STDDEV (Band 1),MIN (Band 2),MAX (Band 2),MEAN (Band 2),STDDEV (Band 2),MIN (Band 3),MAX (Band 3),MEAN (Band 3),STDDEV (Band 3),MIN (Band 4),MAX (Band 4),MEAN (Band 4),STDDEV (Band 4),MIN (Band 5),MAX (Band 5),MEAN (Band 5),STDDEV (Band 5),MIN (Band 6),MAX (Band 6),MEAN (Band 6),STDDEV (Band 6),MIN (Band 7),MAX (Band 7),MEAN (Band 7),STDDEV (Band 7),MIN (Band 8),MAX (Band 8),MEAN (Band 8),STDDEV (Band 8),MIN (Band 9),MAX (Band 9),MEAN (Band 9),STDDEV (Band 9),MIN (Band 10),MAX (Band 10),MEAN (Band 10),STDDEV (Band 10),MIN (Band 11),MAX (Band 11),MEAN (Band 11),STDDEV (Band 11),MIN (Band 12),MAX (Band 12),MEAN (Band 12),STDDEV (Band 12),MIN (Band 13),MAX (Band 13),MEAN (Band 13),STDDEV (Band 13),MIN (Band 14),MAX (Band 14),MEAN (Band 14),STDDEV (Band 14),MIN (Band 15),MAX (Band 15),MEAN (Band 15),STDDEV (Band 15),MIN (Band 16),MAX (Band 16),MEAN (Band 16),STDDEV (Band 16),MIN (Band 17),MAX (Band 17),MEAN (Band 17),STDDEV (Band 17),MIN (Band 18),MAX (Band 18),MEAN (Band 18),STDDEV (Band 18),MIN (Band 19),MAX (Band 19),MEAN (Band 19),STDDEV (Band 19),MIN (Band 20),MAX (Band 20),MEAN (Band 20),STDDEV (Band 20),MIN (Band 21),MAX (Band 21),MEAN (Band 21),STDDEV (Band 21),MIN (Band 22),MAX (Band 22),MEAN (Band 22),STDDEV (Band 22),MIN (Band 23),MAX (Band 23),MEAN (Band 23),STDDEV (Band 23),MIN (Band 24),MAX (Band 24),MEAN (Band 24),STDDEV (Band 24)
"BDWY",9788,1.337589906800000,4.888889312744141,54.33333206176758,37.46342507712346,9.726292788099382,0.000000000000000,171.4320983886719,12.44911645469151,19.68198370973825,0.004319460131227970,1.000000000000000,0.3334775618548190,0.2029644305726675,0.000000000000000,330.6666870117188,22.91659891109154,35.24001378725508,0.000000000000000,17.33333396911621,3.226093278156497,2.545076617221615,-0.000000000000000,2.197224617004395,2.016062845831069,0.2618402972639022,0.1111111119389534,1.000000000000000,0.1457415750051548,0.06303714686169652,-0.8881532549858093,1.000000119209290,0.4497628496446024,0.4177229470807468,6.222222328186035,54.77777862548828,37.71446958550834,8.688677580902803,0.000000000000000,167.5061798095703,12.47517252347688,19.70734922985567,0.004462124779820442,1.000000000000000,0.3337144918813442,0.2056552617411795,0.000000000000000,310.6666564941406,23.14789127064759,35.29671472115814,0.000000000000000,16.88888931274414,3.240771112961274,2.566904603479156,0.3488320708274841,2.197224617004395,2.018783842178817,0.2600187380727457,0.1111111119389534,0.8024691343307495,0.1451285795034999,0.05966546708082501,-0.9061030149459839,1.000000119209290,0.4461962837680434,0.4176975200828761,3.555555582046509,50.55556106567383,32.17362580391452,10.23872913608938,0.000000000000000,184.2222137451172,11.27625925191018,17.26817941769609,0.003734549507498741,1.000000000000000,0.3446179089238422,0.2073140297097973,0.000000000000000,350.4444274902344,19.84769363846884,29.79984574064261,0.000000000000000,18.22222137451172,3.035474375237432,2.294016244566684,-0.000000000000000,2.197224617004395,2.006460172159603,0.2708984977802655,0.1111111119389534,1.000000000000000,0.1481027428965070,0.06481021155393261,-0.8709989786148071,1.000000119209290,0.4338110329869029,0.4160173879172322
"D130-7-1-1",18275,2.497390227500000,2.555555820465088,60.66667175292969,35.27989707886766,13.56886528452541,0.000000000000000,260.9876403808594,17.45675106054415,29.04359633441713,0.003836149116978049,1.000000119209290,0.3611153874985961,0.2291047523094406,0.000000000000000,439.4444580078125,27.98008255183167,48.32780437193245,0.000000000000000,19.66666793823242,3.339717375903140,3.064885217938810,-0.000000000000000,2.197224617004395,1.958698706408369,0.3320008076347026,0.1111111119389534,1.000000000000000,0.1604924781626618,0.08701808717648125,-0.9395523667335510,1.000000119209290,0.4689761991280950,0.4185811765176266,3.000000000000000,61.66666793823242,35.89667761321270,13.04984021918896,0.000000000000000,280.8888854980469,18.10031528461811,29.81135151887095,0.003614993300288916,1.000000119209290,0.3570824552466264,0.2276912280240966,0.000000000000000,461.8889160156250,29.26272119170052,50.48532587966247,0.000000000000000,20.11111068725586,3.419182340288700,3.126471150091510,-0.000000000000000,2.197224617004395,1.967733072898620,0.3197722353705219,0.1111111119389534,1.000000000000000,0.1575038443030802,0.07947655991996026,-0.9432421922683716,1.000000119209290,0.4740495740824588,0.4162616319110404,2.555555582046509,61.88888931274414,34.42611385483748,12.54991749885954,0.000000000000000,228.0246887207031,16.27626096888949,25.18098027215332,0.004901474341750145,1.000000000000000,0.3516514717779605,0.2263539547758742,0.000000000000000,409.8889160156250,26.12178185597490,41.97254380485857,0.000000000000000,18.22222137451172,3.319483305894236,2.837371337281871,-0.000000000000000,2.197224617004395,1.973740751306270,0.3216614177145392,0.1111111119389534,1.000000000000000,0.1569539464331358,0.08352570042453082,-0.9088423252105713,1.000000000000000,0.4779368746830739,0.4140912485695241
"D135-6-2",12335,1.685652993500000,1.888888955116272,55.33333206176758,33.54609789081948,11.48971048873972,0.000000000000000,238.0000000000000,23.08496668946179,29.74619334858906,0.004746924154460430,1.000000000000000,0.3285793766511485,0.2636238461562865,0.000000000000000,379.8888854980469,41.30177057761023,54.12649245374565,0.000000000000000,18.00000000000000,4.264108568789942,3.435786742810877,-0.000000000000000,2.197224617004395,1.947929467413654,0.4391272740020511,0.1111111119389534,1.000000000000000,0.1721639245543153,0.1365094860685784,-0.8829944133758545,1.000000119209290,0.4395663861818737,0.4173737756497541,1.777778029441833,56.88888931274414,34.31066110332243,12.26390369554796,0.000000000000000,223.5555572509766,24.18696394988556,31.12740926134566,0.004152336157858372,1.000000000000000,0.3253540761711058,0.2633113843467083,0.000000000000000,413.3333435058594,43.30283354430377,56.85229993707591,0.000000000000000,18.99999809265137,4.364887739895543,3.526118349031901,-0.000000000000000,2.197224617004395,1.941494566397867,0.4452990822796938,0.1111111119389534,1.000000000000000,0.1737813237186236,0.1362708896574659,-0.8944271206855774,1.000000119209290,0.4357568403184578,0.4189219344971221,0.3333333432674408,57.55556106567383,32.98437198756385,13.85283231921592,0.000000000000000,212.8395080566406,22.41465088512297,27.94703578685063,0.005900435149669647,1.000000119209290,0.3263642669793930,0.2616123524905721,0.000000000000000,371.8888854980469,39.43998611690208,50.14067423062279,0.000000000000000,16.77777862548828,4.205071495641906,3.297559862627364,-0.000000000000000,2.197224617004395,1.947763896887245,0.4472520995290855,0.1111111119389534,1.000000000000000,0.1730126589011169,0.1410609418357300,-0.9281909465789795,1.000000119209290,0.4422733985254615,0.4199334479956870
"E6",8581,1.172645994100000,1.777777910232544,55.44444274902344,32.81866959849794,11.30075979056603,0.000000000000000,227.5555725097656,13.60469668142975,23.74055427702094,0.004039611201733351,1.000000000000000,0.3452663364088235,0.2149165131775056,0.000000000000000,474.7777709960938,23.04656316544619,40.04046037873905,0.000000000000000,20.55555725097656,3.148700717375135,2.646569422743762,-0.000000000000000,2.197224617004395,1.984607282961294,0.3048042149301892,0.1111111119389534,1.000000000000000,0.1539620285444139,0.07942329513035139,-0.8551861047744751,1.000000119209290,0.4726457397790893,0.4152492696765052,2.000000000000000,58.55556106567383,32.81368452351544,11.31465649588764,0.000000000000000,252.9876556396484,14.37050860663604,25.90719170247210,0.003568181069567800,1.000000000000000,0.3482860456901959,0.2157410953521967,0.000000000000000,529.7777709960938,24.26104216259800,43.98210799450367,0.000000000000000,21.77777862548828,3.189734524229879,2.764706764850654,-0.000000000000000,2.197224617004395,1.987061288109221,0.2941139402277291,0.1111111119389534,1.000000000000000,0.1525376930211186,0.07222851505677438,-0.8665407299995422,1.000000119209290,0.4700151999456033,0.4134006217470849,0.1111111119389534,57.55555725097656,31.22606841203787,10.52029322153395,0.000000000000000,224.2222137451172,13.32089999778216,23.40442295718850,0.003366862423717976,1.000000000000000,0.3489667281586916,0.2152107290279155,0.000000000000000,542.3333129882813,22.54519711101428,39.34590786047508,0.000000000000000,22.11111068725586,3.114102313086406,2.610806329017204,-0.000000000000000,2.197224617004395,1.980164282458907,0.2990732314317380,0.1111111119389534,1.000000000000000,0.1541663270798364,0.07321995393519841,-0.8714212179183960,1.000000119209290,0.4690334549113461,0.4158943448654158
"F11",11276,1.540934183600000,4.666666984558105,58.11111450195313,38.28431146396056,10.10754646371006,0.000000000000000,179.1111145019531,13.25880827813477,22.27900087668307,0.005543262697756290,1.000000119209290,0.3841266156336208,0.2412517891218169,0.000000000000000,333.7777709960938,22.02263444071387,36.27266831174611,0.000000000000000,17.55555534362793,2.997605625941751,2.665773023788619,-0.000000000000000,2.197224617004395,1.909665252536313,0.3873354160358760,0.1111111119389534,1.000000000000000,0.1739650283579699,0.1079453325394498,-0.8268139362335205,1.000000119209290,0.4562940128330957,0.4189863374179351,7.666666984558105,61.77777862548828,41.25781455632852,9.528720777463834,0.000000000000000,189.5555725097656,13.88378475392162,23.17925848048263,0.004891474265605211,1.000000000000000,0.3852451569034839,0.2475201112747015,0.000000000000000,366.3333129882813,23.48375149415003,38.45922666303976,0.000000000000000,18.33333206176758,3.083491084780035,2.769410297817016,-0.000000000000000,2.197224617004395,1.908883821106879,0.3933132559592119,0.1111111119389534,1.000000000000000,0.1748890929894060,0.1113669310335293,-1.000000119209290,1.000000119209290,0.4522170785831097,0.4176326040738860,3.888888835906982,59.22222518920898,38.52942401392740,10.93003997383509,0.000000000000000,224.9876556396484,13.26708110105337,21.14182862404677,0.005021676421165466,1.000000000000000,0.3850455215028080,0.2420530488605826,0.000000000000000,365.3333435058594,21.56686805681044,33.36757220669877,0.000000000000000,17.77777862548828,3.001911725896487,2.576321869752287,-0.000000000000000,2.197224617004395,1.911461640071388,0.4005285326260051,0.1111111119389534,1.000000000000000,0.1752810542362353,0.1162463095410477,-0.8980265259742737,1.000000119209290,0.4577616667490889,0.4157659493508751
"F3",9141,1.249173410100000,3.777777910232544,54.77777481079102,36.20065930418890,7.719876083483160,0.000000000000000,189.2839660644531,6.754411384959695,14.28823445272816,0.005151219200342894,1.000000119209290,0.4767384890207837,0.2549244662173563,0.000000000000000,424.3333435058594,12.58711075027937,29.23400281555329,0.000000000000000,19.00000000000000,2.103890957406771,2.217416849735877,-0.000000000000000,2.197224617004395,1.755026820973304,0.4795878019216460,0.1111111119389534,1.000000000000000,0.2150249690112485,0.1517140669638966,-0.8225214481353760,1.000000119209290,0.4485364808654236,0.4140661515735946,5.111111164093018,57.22222137451172,37.86431179911520,7.132796461868473,0.000000000000000,189.2839660644531,6.970915254344449,14.92766984348718,0.005102852359414101,1.000000000000000,0.4809643561192167,0.2581371329323102,0.000000000000000,418.7778015136719,13.05355621063906,30.53143306135122,0.000000000000000,18.77777481079102,2.118574495864292,2.278942693954621,-0.000000000000000,2.197224617004395,1.741115236540563,0.5016058904482044,0.1111111119389534,1.000000000000000,0.2207460390686493,0.1615826854125727,-1.000000000000000,1.000000119209290,0.4428295842300617,0.4175853416911589,2.111111164093018,58.77777862548828,36.66191459581062,9.496301814797645,0.000000000000000,132.2469177246094,6.069074271573053,11.68056928486765,0.006601159460842609,1.000000119209290,0.4783076968440576,0.2585391535251589,0.000000000000000,304.1111450195313,11.04140095774379,22.68619067085531,0.000000000000000,15.88888835906982,2.029038947798982,2.013541411742597,-0.000000000000000,2.197224617004395,1.746153728287195,0.4903035865108463,0.1111111119389534,1.000000000000000,0.2185067724179366,0.1555906452367118,-1.000000119209290,1.000000119209290,0.4355573605658394,0.4195410599153986
"GL",7217,0.9862470737000001,3.666666746139526,53.22222518920898,38.38064501852777,9.162609343686222,0.000000000000000,165.5802459716797,9.117159992645362,15.89209638458542,0.004458200652152300,1.000000000000000,0.3995902471741677,0.2358427446598355,0.000000000000000,264.6666564941406,15.23436971773038,24.35918336450434,0.000000000000000,16.00000000000000,2.567764467822105,2.159461897378132,-0.000000000000000,2.197224617004395,1.891294937476039,0.4092717238873595,0.1111111119389534,1.000000000000000,0.1798685227532507,0.1226725621931320,-0.8086075782775879,1.000000119209290,0.4548944108289396,0.4179960388696612,5.000000000000000,54.66666412353516,38.26297538736710,8.021688993986535,0.000000000000000,158.3950653076172,9.044933423628075,15.61443869002954,0.004631138872355223,1.000000000000000,0.4054621594597454,0.2381712045454548,0.000000000000000,254.1111145019531,15.31236460172925,24.55880107627636,0.000000000000000,15.66666793823242,2.558927304155942,2.175828564808056,-0.000000000000000,2.197224617004395,1.885125549006069,0.4204204279641394,0.1111111119389534,1.000000000000000,0.1821847276278724,0.1275187987628684,-0.7905694246292114,1.000000119209290,0.4538002337346771,0.4147846591900601,2.333333492279053,50.33333587646484,35.65450463302252,9.421262788331072,0.000000000000000,137.2839508056641,8.173972011193724,13.27213812327327,0.009981366805732250,1.000000000000000,0.4051966390710438,0.2371839664441296,0.000000000000000,158.7777709960938,13.45746949081963,19.40488187356092,0.000000000000000,11.77777767181396,2.460379125242486,1.956263431300453,-0.000000000000000,2.197224617004395,1.885379517253489,0.4176041077443936,0.1111111119389534,1.000000000000000,0.1817125918882300,0.1250777278490985,-0.8320503234863281,1.000000119209290,0.4449356886191952,0.4172363471375290
"GLSJNCT",9089,1.242067292900000,1.666666746139526,55.66666412353516,35.83236189092631,13.74872017541324,0.000000000000000,275.0617370605469,15.89847464603811,28.10485192392981,0.003604064695537090,1.000000000000000,0.3717413920049366,0.2303411651267108,0.000000000000000,515.2222900390625,25.06298247394909,45.44097217185411,0.000000000000000,21.44444274902344,3.141123064700094,2.903780978763122,-0.000000000000000,2.197224617004395,1.947638053313801,0.3476070038438095,0.1111111119389534,1.000000000000000,0.1635119941223703,0.09466866316223604,-0.8521681427955627,1.000000119209290,0.5054102165007184,0.4026241624434016,4.555555820465088,62.88888931274414,38.16340924327110,12.20647984432502,0.000000000000000,293.9506225585938,17.31774011765581,31.09807082942946,0.002680211095139384,1.000000000000000,0.3643761259901336,0.2345917878896998,0.000000000000000,612.7777099609375,27.93047795825330,52.76562259394765,0.000000000000000,23.55555343627930,3.295986699786160,3.118048767928767,-0.000000000000000,2.197224617004395,1.942284738719759,0.3529079643652296,0.1111111119389534,1.000000000000000,0.1648051052660960,0.09477797747890125,-1.000000119209290,1.000000119209290,0.5067675776836346,0.4088383869878010,1.555555582046509,54.55555343627930,35.14689366044168,13.17634158809981,0.000000000000000,190.0000152587891,15.04831929159353,24.53705079298082,0.005211078096181154,1.000000000000000,0.3642965267327933,0.2329726236707776,0.000000000000000,427.3333435058594,23.87954952072695,39.81044436398592,0.000000000000000,19.33333587646484,3.146477524873572,2.738128695247797,-0.000000000000000,2.197224617004395,1.945841125265995,0.3600814368867467,0.1111111119389534,1.000000000000000,0.1645524597160427,0.09934259505273363,-0.8898206353187561,1.000000119209290,0.5080789697699780,0.4053118158473935
"GWAS-W01",41329,5.647859956900001,1.333333373069763,62.11111068725586,34.16464406442709,11.98593871955019,0.000000000000000,259.3333435058594,20.62497070992617,30.87104774787705,0.003151621902361512,1.000000119209290,0.3241948720993889,0.2299815667362193,0.000000000000000,515.1111450195313,34.24075154332439,52.34897051686640,0.000000000000000,21.11111068725586,3.848027183920193,3.215949471804490,-0.000000000000000,2.197224617004395,1.988690056482751,0.3350257579376565,0.1111111119389534,1.000000000000000,0.1552399929186795,0.09186529592203593,-1.000000000000000,1.000000119209290,0.4916275165900102,0.4166500000044190,2.333333492279053,62.33333587646484,35.21157910563705,11.44760882627482,0.000000000000000,274.6666564941406,21.33053574627564,32.16679362409364,0.003302441677078605,1.000000000000000,0.3279500900795438,0.2355166149247710,0.000000000000000,510.8888854980469,35.60423050626797,54.85851643828552,0.000000000000000,21.33333396911621,3.902788301857047,3.313749452869059,-0.000000000000000,2.197224617004395,1.981870318027910,0.3420330811090213,0.1111111119389534,1.000000000000000,0.1569743446014057,0.09203315027576529,-0.9429277777671814,1.000000119209290,0.4860611705590775,0.4177454410383541,1.000000000000000,60.44445037841797,32.99508058806173,12.23332246523017,0.000000000000000,235.3580169677734,19.33498840451741,27.84773850332754,0.004535280633717775,1.000000000000000,0.3286957183814303,0.2337046026382029,0.000000000000000,429.2222290039063,31.76487364528192,45.56734446669334,0.000000000000000,19.22222137451172,3.751146060642188,3.026168061629017,-0.000000000000000,2.197224617004395,1.984763565094974,0.3402251025892603,0.1111111119389534,1.000000000000000,0.1561140394799016,0.09102075755238358,-1.000000000000000,1.000000119209290,0.4827050535433129,0.4175308841895533
"GWAS-W02",25262,3.452206398200000,1.444444417953491,62.22222518920898,34.61777516708041,11.47095665821439,0.000000000000000,243.1111145019531,18.24468132101019,28.98305118340559,0.003376770298928022,1.000000000000000,0.3520678015550206,0.2463504654467663,0.000000000000000,627.8888549804688,32.22926886832055,52.97271912357910,0.000000000000000,23.22222328186035,3.626483444408186,3.259855364060619,-0.000000000000000,2.197224617004395,1.952640348262793,0.3742155387487599,0.1111111119389534,1.000000000000000,0.1645491080531602,0.1043067529709642,-0.8882176876068115,1.000000119209290,0.4528629589870802,0.4120654497960526,1.777778029441833,62.33333587646484,34.35375101213246,11.17881857131722,0.000000000000000,253.1111145019531,18.39897348881553,29.26324906679178,0.003502812702208757,1.000000000000000,0.3556067614719208,0.2512517905474448,0.000000000000000,654.3333740234375,32.62351493120303,53.82392658657200,0.000000000000000,23.88888931274414,3.638565714416701,3.296604602110952,-0.000000000000000,2.197224617004395,1.937054547237845,0.3893569654961985,0.1111111119389534,1.000000000000000,0.1685858159993670,0.1078704742333697,-1.000000000000000,1.000000119209290,0.4391482970974384,0.4158267495799368,0.5555555820465088,57.11111450195313,32.26869116618187,12.00528969755358,0.000000000000000,224.6172637939453,16.57315104844952,25.17420095357933,0.004653675016015768,1.000000119209290,0.3580839143975543,0.2500582663054173,0.000000000000000,483.7778015136719,28.81961089038094,44.93773080322521,0.000000000000000,20.00000000000000,3.472809506584510,3.015310664208890,-0.000000000000000,2.197224617004395,1.938455485252839,0.3967463225326253,0.1111111119389534,1.000000000000000,0.1693716545845638,0.1146180253158365,-1.000000119209290,1.000000119209290,0.4452649839026685,0.4123377009649161
