name,COUNT,AREA,MIN (Band 1),MAX (Band 1),MEAN (Band 1),STDDEV (Band 1),MIN (Band 2),MAX (Band 2),MEAN (Band 2),STDDEV (Band 2),MIN (Band 3),MAX (Band 3),MEAN (Band 3),STDDEV (Band 3)
"K005",22067,3.015590158700000,1.000000000000000,243.0000000000000,91.25418045044646,54.85870436878644,3.000000000000000,253.0000000000000,103.1511306475733,56.56825608298210,1.000000000000000,238.0000000000000,79.04828399147661,45.92454088652253
"K009",19026,2.600018958600000,1.000000000000000,255.0000000000000,97.95853043204042,57.08581468398788,2.000000000000000,253.0000000000000,95.72379901187843,55.29419374071154,1.000000000000000,220.0000000000000,84.36099868593958,48.32508291369706
"K011",7476,1.021641003600000,6.000000000000000,246.0000000000000,108.3967362225789,58.65505909330675,7.000000000000000,245.0000000000000,110.4965222043874,56.54784686050246,2.000000000000000,197.0000000000000,82.39767255216692,43.34441783889782
"K017",11640,1.590677004000000,1.000000000000000,219.0000000000000,82.12500000000000,48.01621887560022,6.000000000000000,226.0000000000000,100.3554123711340,50.84860981666086,2.000000000000000,241.0000000000000,80.39063573883166,43.98580637444852
"K023",20524,2.804729796400000,1.000000000000000,223.0000000000000,98.05164685246545,51.02391125038783,1.000000000000000,245.0000000000000,101.8860358604560,51.91401143282222,1.000000000000000,216.0000000000000,86.22334307992215,44.63096315781899
"K036",18020,2.462542922000000,1.000000000000000,230.0000000000000,92.58734739178695,49.37622532616480,6.000000000000000,250.0000000000000,108.7614714531433,51.31247207625948,1.000000000000000,216.0000000000000,80.41497391497394,44.33810406224259
"K053",12582,1.719407050200000,1.000000000000000,235.0000000000000,94.42083929423001,53.66097512018825,4.000000000000000,241.0000000000000,102.4047051343189,54.32469952439999,1.000000000000000,203.0000000000000,77.98091299506915,44.55399434844291
"K054",20491,2.800220145100000,2.000000000000000,254.0000000000000,108.9068371480162,57.24715927538072,6.000000000000000,254.0000000000000,114.6757112878825,58.08989688519136,1.000000000000000,247.0000000000000,86.76352539062501,48.82564528558657
"K055",5291,0.7230474251000001,9.000000000000000,231.0000000000000,109.5189945189945,58.39642057460745,8.000000000000000,245.0000000000000,117.3849933849934,58.77736143365897,3.000000000000000,206.0000000000000,92.10413910413911,49.31148176928318
"K058",20031,2.737358339100000,1.000000000000000,254.0000000000000,99.31700863661325,62.53032614041796,3.000000000000000,255.0000000000000,106.9981528630623,63.48234348762477,1.000000000000000,237.0000000000000,79.18695326168461,49.83790702211319
"K066",17621,2.408017138100000,1.000000000000000,243.0000000000000,95.60019295159188,59.26513291583375,4.000000000000000,251.0000000000000,101.1764372056069,60.11052176851466,1.000000000000000,228.0000000000000,84.20063567739369,50.80130291484076
"K079",19873,2.715766675300000,1.000000000000000,252.0000000000000,89.65762592462127,54.71473309127949,3.000000000000000,254.0000000000000,105.7250679279461,57.68392760560232,1.000000000000000,203.0000000000000,68.31154563322083,42.82211103475877
"K180",5633,0.7697838113000001,5.000000000000000,238.0000000000000,112.1844487839517,51.61791677296142,4.000000000000000,239.0000000000000,106.7548375643530,55.78121965029157,9.000000000000000,244.0000000000000,111.2442748091604,56.67787372828244
"K181",19363,2.646072064300000,1.000000000000000,255.0000000000000,117.4722925166555,63.82906520843355,9.000000000000000,255.0000000000000,131.8951092289417,66.08831300258409,1.000000000000000,233.0000000000000,98.61896400351185,52.19557941338947
"K183",17179,2.347615141900000,1.000000000000000,218.0000000000000,85.81442458815991,49.46865912147738,7.000000000000000,244.0000000000000,106.6091739915012,54.47668350878106,1.000000000000000,205.0000000000000,69.36285298398833,39.14036894866061
"K186",5387,0.7361664107000000,1.000000000000000,216.0000000000000,81.27473547428995,50.23862366488489,3.000000000000000,253.0000000000000,104.0432121661721,53.52950658150209,1.000000000000000,201.0000000000000,80.01447392837260,44.23032462855252
"K197",20314,2.776032015400000,2.000000000000000,239.0000000000000,92.09638672836464,53.90893937591191,7.000000000000000,254.0000000000000,109.6554270243663,56.28530397007174,2.000000000000000,246.0000000000000,84.55820822052665,46.47504171860260
"K215",17677,2.415669879700000,1.000000000000000,219.0000000000000,95.22656559370930,50.90265859464078,8.000000000000000,251.0000000000000,119.4667647225207,56.16809025790242,1.000000000000000,224.0000000000000,78.21029095437569,41.08088282887417
"K219",18832,2.573507675200000,1.000000000000000,241.0000000000000,104.6455501274427,56.71901656554471,3.000000000000000,248.0000000000000,110.3206775700935,56.95538895444263,1.000000000000000,215.0000000000000,83.32040794645702,45.58362587781092
"K233",16391,2.239930135100000,3.000000000000000,236.0000000000000,83.67848209383195,54.89824499264423,2.000000000000000,241.0000000000000,88.85876395582947,54.97919182539987,2.000000000000000,214.0000000000000,79.69410042096273,47.09757906305175
"K268",3180,0.4345663980000000,6.000000000000000,226.0000000000000,118.9660377358491,50.89233413301032,19.00000000000000,237.0000000000000,126.4572327044025,50.58930226348946,3.000000000000000,200.0000000000000,81.33176100628933,39.67597206624953
"K280",11853,1.619784753300000,1.000000000000000,237.0000000000000,84.94102758795239,53.42875576076459,6.000000000000000,247.0000000000000,97.41010714587020,53.84664311216185,1.000000000000000,227.0000000000000,77.13397452121829,42.83539242791271
"K286",11086,1.514969524600000,1.000000000000000,228.0000000000000,87.67265018942811,52.75238371057906,1.000000000000000,245.0000000000000,87.35351439141024,50.74449777441660,1.000000000000000,198.0000000000000,74.51223255394063,41.51262126308410
"K302",1664,0.2273957504000000,11.00000000000000,230.0000000000000,98.75540865384616,55.70890891378570,7.000000000000000,219.0000000000000,87.07572115384616,52.93287856023560,3.000000000000000,172.0000000000000,71.87319711538463,42.03782511004547
"K316",26838,3.667576411800000,4.000000000000000,250.0000000000000,123.7039272673075,55.87316273797826,11.00000000000000,254.0000000000000,135.7036291825025,59.38814252411041,1.000000000000000,207.0000000000000,83.94197875908333,43.81251798051327
"K352",19123,2.613274600300000,2.000000000000000,242.0000000000000,114.8166082727607,56.93816286095633,4.000000000000000,251.0000000000000,124.6882288343879,59.11566559949699,1.000000000000000,193.0000000000000,80.24509033778466,44.56979806330691
"K353",23594,3.224264023400000,2.000000000000000,253.0000000000000,106.0733237263712,54.52407463640120,8.000000000000000,254.0000000000000,119.0060608629313,56.74911758058067,1.000000000000000,217.0000000000000,81.05735269145865,46.77266931264644
"K354",16369,2.236923700900000,5.000000000000000,255.0000000000000,125.6586840979902,59.45393108171136,14.00000000000000,254.0000000000000,126.6620441077646,57.22649710936251,1.000000000000000,219.0000000000000,89.44846337141811,47.34550650658685
"K359",20020,2.735855122000000,1.000000000000000,250.0000000000000,93.40454545454546,49.58926485529645,1.000000000000000,249.0000000000000,81.41451838529179,48.73498089950800,1.000000000000000,241.0000000000000,77.26441202917380,46.56659309958710
