name,COUNT,AREA,MIN (Band 1),MAX (Band 1),MEAN (Band 1),STDDEV (Band 1),MIN (Band 2),MAX (Band 2),MEAN (Band 2),STDDEV (Band 2),MIN (Band 3),MAX (Band 3),MEAN (Band 3),STDDEV (Band 3),MIN (Band 4),MAX (Band 4),MEAN (Band 4),STDDEV (Band 4),MIN (Band 5),MAX (Band 5),MEAN (Band 5),STDDEV (Band 5)
"BDWY",9788,1.337589906800000,0.04218246415257454,0.4901136159896851,0.1918114680944533,0.09547203626377965,0.08674921840429306,1.185364961624146,0.4804878206097706,0.2503267390263682,0.08862694352865219,1.405154347419739,0.4675129145394493,0.2461794000172000,0.2406447827816010,4.468566894531250,1.683461059929218,0.9362015927721045,0.6855767369270325,9.027754783630371,3.778534033984662,1.945274442233811
"D130-7-1-1",18275,2.497390227500000,0.03361525386571884,0.5129302740097046,0.1514767806399129,0.08792430594589015,0.03874345123767853,0.6502814292907715,0.1931323952907658,0.1116517664960796,0.07613717764616013,1.226983666419983,0.3250879676776611,0.2014993313158601,0.2601193785667419,3.812054395675659,1.314544817678905,0.7750386739504849,0.7342154383659363,8.887868881225586,3.628074604294042,1.876312889319621
"D135-6-2",12335,1.685652993500000,0.04072730988264084,0.9767947196960449,0.2204525458218358,0.1048703413922513,0.05552445352077484,1.169400930404663,0.3512595015583637,0.2059562731802609,0.08452303707599640,2.638074398040771,0.5154922147088560,0.2941967606425349,0.2478146255016327,4.418004035949707,1.619068477446850,0.9537272346358885,0.6872017383575439,9.302338600158691,3.933909797755436,2.109287908970971
"E6",8524,1.164856596400000,0.01307347603142262,0.3534789681434631,0.06544729179459267,0.04384517139775308,0.01505111902952194,0.3671602308750153,0.07209037471753171,0.04723165281860772,0.04007454589009285,0.7403956651687622,0.1968020139483220,0.1064734238656013,0.07058206200599670,0.9297044277191162,0.3535476429462223,0.1728631174708423,0.6261815428733826,7.485460758209229,2.947071365763859,1.542115120902170
"F11",11283,1.541890776300000,0.02175869420170784,0.4127495884895325,0.07676962817169158,0.04232670913664793,0.03158566728234291,0.4040499031543732,0.1250398304509211,0.04745289253413840,0.07746794819831848,1.425607085227966,0.2656606652458687,0.1379756641198117,0.1414014846086502,1.857620716094971,0.6869486064421394,0.2940811997219777,0.7055051922798157,7.441415786743164,4.167588488166871,1.561291940667032
"F3",9141,1.249173410100000,0.01174749154597521,0.2042737603187561,0.04585004933284383,0.03373274447653532,0.01175319124013186,0.2076879292726517,0.04642606957043000,0.03219380228678734,0.05696905031800270,0.8938562870025635,0.2252949846130256,0.1214589370073948,0.05741277337074280,0.6783578395843506,0.2517381825136604,0.1199259514794376,0.5751610994338989,5.483981609344482,2.497974422584150,1.264814866624067
"GL",7217,0.9862470737000001,0.01938128657639027,0.1652924418449402,0.06050894490174882,0.02784021115661482,0.02983400411903858,0.2987306416034698,0.1215589767688693,0.05046526471362094,0.06959442049264908,0.8154417276382446,0.2668313965701045,0.1193853694879261,0.06857414543628693,0.8043553233146667,0.3615958202799074,0.1716050833089353,0.5968399047851563,6.206646919250488,3.041152392726072,1.530346031104920
"GLSJNCT",9089,1.242067292900000,0.04696378856897354,0.6287071704864502,0.1835217846108488,0.08994613053811076,0.04111927002668381,0.7723322510719299,0.2113907706229773,0.1316818938774362,0.09924557060003281,1.691595077514648,0.4355009882807707,0.2694801805609632,0.2447049468755722,4.535292625427246,1.529048982123584,1.005538015125048,0.6560823321342468,8.561968803405762,3.395930146807715,1.935355177495382
"GWAS-W01",41360,5.652096296000001,0.03041273355484009,0.7417294383049011,0.1339414574849874,0.06798797297248918,0.04024029150605202,1.125607371330261,0.2466479436131429,0.1402431574749693,0.06278030574321747,1.482278823852539,0.3353367676401809,0.1837783436439303,0.2523365020751953,3.567779541015625,1.159611670488431,0.5308137517006420,0.7178426384925842,8.985974311828613,3.392079470508392,1.322716881950531
"GWAS-W02",25248,3.450293212800000,0.03153039515018463,0.5935782790184021,0.1491414381295009,0.06745988356229254,0.05344661697745323,0.9593733549118042,0.2530002057275242,0.1196050306241579,0.07272798568010330,1.829163432121277,0.4043930120635142,0.2204352584162892,0.2750754654407501,3.231486558914185,1.127363824048309,0.4991051980309670,0.8127512931823730,6.712720394134521,2.984756384141677,1.140536184325222
