name,COUNT,AREA,MIN (Band 1),MAX (Band 1),MEAN (Band 1),STDDEV (Band 1),MIN (Band 2),MAX (Band 2),MEAN (Band 2),STDDEV (Band 2),MIN (Band 3),MAX (Band 3),MEAN (Band 3),STDDEV (Band 3),MIN (Band 4),MAX (Band 4),MEAN (Band 4),STDDEV (Band 4),MIN (Band 5),MAX (Band 5),MEAN (Band 5),STDDEV (Band 5)
"BDWY",9638,1.317091491800000,0.04218246415257454,0.5591638088226318,0.1956632230009533,0.09941067766965765,0.08674921840429306,1.185364961624146,0.4839409112985961,0.2454569072737451,0.08862694352865219,1.405154347419739,0.4821317004247445,0.2530166925610266,0.2517404556274414,4.468566894531250,1.687167374959474,0.9255618097257554,0.7149812579154968,9.027754783630371,3.769859600627441,1.933285269602809
"D130-7-1-1",19728,2.695951540800000,0.03361525386571884,0.6501895189285278,0.1649379463930934,0.09867083695964300,0.03874345123767853,0.6502814292907715,0.1968690612576585,0.1093092836759596,0.07613717764616013,1.226983666419983,0.3484558480979072,0.2141298469445698,0.2601193785667419,3.812054395675659,1.285915321502033,0.7555570275435989,0.7650573253631592,8.887868881225586,3.494474490734373,1.870585018840257
"D135-6-2",14949,2.042872038900000,0.04072730988264084,0.9767947196960449,0.2461407162267528,0.1143872529039801,0.05552445352077484,1.169400930404663,0.3562158003877567,0.1898139498847557,0.08452303707599640,2.638074398040771,0.5437716045005397,0.2810716806502315,0.2478146255016327,4.418004035949707,1.504883371376778,0.9031076614093361,0.7017654180526733,9.302338600158691,3.567754869640804,2.081545425370458
"E6",14496,1.980966825600000,0.01307347603142262,0.3534789681434631,0.08461005225310937,0.06115166095314829,0.01505111902952194,0.3671602308750153,0.09167352894929627,0.06482405197380246,0.04007454589009285,0.7629436254501343,0.2333390631339830,0.1382289872920853,0.07058206200599670,0.9297044277191162,0.3471665837468937,0.1600669853249231,0.6261815428733826,7.485460758209229,2.691799438301532,1.453612864809468
"F11",12189,1.665701202900000,0.02175869420170784,0.3747684061527252,0.09059922537190367,0.06283595597013478,0.03158566728234291,0.3259171843528748,0.1303192125953503,0.04883711963188215,0.07746794819831848,1.214602351188660,0.3064473679382283,0.1917939527130491,0.1414014846086502,1.857620716094971,0.6755317509228136,0.2829974460837922,0.7438532710075378,7.441415786743164,3.967599215323836,1.615596337246861
"F3",8172,1.116753649200000,0.01174749154597521,0.2489148676395416,0.04232760110520816,0.03413581094545291,0.01175319124013186,0.2570368945598602,0.04624984071615534,0.03666980819310721,0.05696905031800270,0.9469463825225830,0.2256788577623684,0.1335202143113727,0.05741277337074280,0.6783578395843506,0.2704434606816020,0.1163056795408180,0.5768380165100098,5.483981609344482,2.693752403760797,1.212821257566236
"GL",5296,0.7237307056000001,0.01938128657639027,0.1708050519227982,0.05518117043670840,0.02644899207040739,0.03211187198758125,0.2987306416034698,0.1300854798964875,0.05009250676260336,0.06959442049264908,0.8154417276382446,0.2558341705721446,0.1154227810024917,0.07375695556402206,0.8043553233146667,0.4096327408166248,0.1582199684144001,0.6865383386611938,6.206646919250488,3.475863449793209,1.396178914108693
"GLSJNCT",11222,1.533554754200000,0.04696378856897354,0.7027752399444580,0.2233069479967413,0.1197110565929986,0.04111927002668381,0.7723322510719299,0.2183487364998069,0.1218354025424706,0.09924557060003281,1.829997658729553,0.5325398620883957,0.3165093859200773,0.2494703382253647,4.535292625427246,1.496445886369822,0.9288242631924727,0.6560823321342468,8.561968803405762,3.234384204710981,1.818686637980454
"GWAS-W01",47318,6.466293339800000,0.03041273355484009,1.318622231483459,0.1598156891004108,0.09839037035723179,0.04024029150605202,1.125607371330261,0.2644579115930053,0.1452651010396565,0.06278030574321747,2.288854837417603,0.3944609196798120,0.2452134612689698,0.2523365020751953,3.567779541015625,1.145303739323216,0.5119538189178278,0.7178426384925842,8.985974311828613,3.212524973805514,1.333891968899371
"GWAS-W02",25509,3.485960454900000,0.03153039515018463,0.7098109126091003,0.1586788571214966,0.08044360549905953,0.05344661697745323,0.9593733549118042,0.2549387840427427,0.1192116459089255,0.07272798568010330,1.829163432121277,0.4165792879313165,0.2290215100030713,0.2792913019657135,3.231486558914185,1.109452998192094,0.4957626854634395,0.8127512931823730,6.712720394134521,2.904906798646994,1.153006030387872
"GWAS-W12",21453,2.931683313300000,0.03684872388839722,0.6171516180038452,0.1619273788349387,0.08427793687491808,0.04364036023616791,0.9572974443435669,0.3169035598811407,0.1506330200265489,0.06714703142642975,1.262056827545166,0.3430792656007145,0.1695291665901640,0.2884054780006409,3.407311677932739,1.387386912381973,0.5566801798267821,0.8594175577163696,9.143086433410645,4.080266866031931,1.630565848692495
"GWAS-W22",29581,4.042424094100000,0.03700555488467216,2.069049835205078,0.2083278891369247,0.1388600755658771,0.04547958076000214,1.328984141349792,0.2807169477911993,0.1518220635609833,0.07984586060047150,3.721810340881348,0.5974300556177762,0.4095474232522873,0.2693001627922058,4.172854423522949,1.286865577919279,0.5924291742561481,0.7520040273666382,7.496774196624756,3.105407250964823,1.285458978457820
"GWAS-W27",28308,3.868460878800000,0.03173002600669861,1.162277340888977,0.1957023510179326,0.1251551096147587,0.02673318795859814,0.6385355591773987,0.1865548763232812,0.09588638767993347,0.05797289684414864,2.210299730300903,0.4790515519988645,0.3109475768744383,0.1942967921495438,3.778955459594727,1.213626881463115,0.5929580003220013,0.4025555849075317,6.835730552673340,2.317563833757001,1.140759776966549
"GWAS-W30",12377,1.691392549700000,0.04046199098229408,0.9517313838005066,0.2039005746788794,0.1287578703616000,0.04700648784637451,1.011216640472412,0.2585721476003676,0.1269325584182541,0.08570232987403870,2.304724216461182,0.5070553946247767,0.3214390204882307,0.2320871353149414,3.720036029815674,1.267442589656567,0.5981349977882185,0.6881729364395142,7.640913009643555,3.261266392676965,1.470709425805876
"GWAS-W35",13527,1.848547064700000,0.03095667995512486,0.8109156489372253,0.1834169397143139,0.1199571307991419,0.02601046487689018,0.5711499452590942,0.1480624740813187,0.08000252493937073,0.06008570641279221,1.463876485824585,0.4063339943916250,0.2206377168461785,0.2075831592082977,2.248207092285156,0.8428408423447068,0.3487945553197186,0.3053544163703918,4.945773124694824,1.483974857348212,0.6518967598203240
"GWAS-W42",17851,2.439448041100000,0.04052574187517166,0.5186636447906494,0.1641324939462199,0.08240894620358644,0.04260234534740448,0.5828191637992859,0.1918888618611040,0.07153082169921005,0.07905550301074982,1.226991176605225,0.3462093222543449,0.1611066132927673,0.2851936519145966,2.981145858764648,1.333989151104727,0.5078102578224601,0.8453108668327332,8.685799598693848,4.011593193682252,1.604973414055791
"GWAS-W43",10235,1.398675183500000,0.04939528927206993,0.5262939929962158,0.1941750252802284,0.09887105417218940,0.1001880243420601,0.9159450531005859,0.3615513640093292,0.1347846017104391,0.1063573658466339,1.142384171485901,0.3943907774253245,0.1784951942950324,0.3207892775535583,3.362174034118652,1.260112675455179,0.4619008094940281,0.9778543710708618,7.413761138916016,3.255109000701002,1.252294315664305
"GWAS-W44",1363,0.1862622643000000,0.06593652069568634,0.5488285422325134,0.2667772836671625,0.1041906467317761,0.04993705451488495,0.4749363660812378,0.2205996559201709,0.08320864581259496,0.1869771778583527,1.997475862503052,0.8746805050118566,0.3389588860476188,0.2973698377609253,2.906204938888550,1.198826706877371,0.4925705971935315,0.8609316945075989,6.098021030426025,2.541225942722244,1.056668173824978
"GWAS-W7",27434,3.749023447400000,0.02965976111590862,0.5660375952720642,0.1431564085809217,0.09114109649264145,0.04133044555783272,0.8756157755851746,0.2181793444345843,0.1133688452349513,0.04566327482461929,1.557195425033569,0.3610580275559672,0.2123139297115099,0.2167035788297653,3.268731594085693,1.029127380719222,0.3623124001762248,0.5205229520797729,4.971123695373535,2.143902823117139,0.7351308253571073
"H20K0130",13304,1.818072754400000,0.03696404024958611,0.4779105484485626,0.1517735052709895,0.08340983494427590,0.06352585554122925,0.7074577212333679,0.2854146624848661,0.1277174812429968,0.06923554837703705,0.8742355704307556,0.3111973930412364,0.1533671291773127,0.2636382281780243,3.204342365264893,1.353516039264379,0.6427451159520550,0.8310292363166809,8.341787338256836,3.912178816601982,1.794565727852261
"H20K1173",9594,1.311078623400000,0.04100142046809196,0.5811777114868164,0.1800768094978744,0.09675031437190262,0.04402130097150803,0.4174382090568542,0.1782276419061085,0.07766720734743894,0.08945234119892120,1.684625864028931,0.4016931324285505,0.2179734533786091,0.2530390620231628,3.220534086227417,1.284197597670660,0.6665277173581282,0.7376340031623840,7.512350082397461,3.175320473087809,1.649362260376175
"H20K1176",12242,1.672943976200000,0.03759038075804710,0.7625125050544739,0.2014826161954587,0.1164080543558394,0.04183083772659302,0.6766685843467712,0.2248875764009171,0.1261839300660084,0.08742927014827728,1.427995324134827,0.4605841807055817,0.2666475852428988,0.2525084614753723,3.869531393051147,1.311449267903762,0.7702318560281678,0.7198797464370728,8.886680603027344,3.458260007761329,1.900008419745828
"H20K1180",20878,2.853106055800000,0.02838461846113205,0.5664640069007874,0.1429350502924273,0.08807070516262612,0.02333121933043003,0.4214397072792053,0.1175547829598179,0.06805436028646138,0.07339142262935638,1.228605151176453,0.3707148819335325,0.2008385159171883,0.2278741896152496,3.328713893890381,1.244837181462971,0.6323289283524366,0.7208880186080933,9.030099868774414,3.993171897712985,1.997809048573064
"H20K2807",8295,1.133562349500000,0.04377397894859314,0.5906844735145569,0.1946437834211327,0.09241428466943601,0.08545465767383575,1.211102604866028,0.4915480254580634,0.2635380260154636,0.08793837577104568,1.330713152885437,0.4495680164777061,0.2412488478307818,0.2854223549365997,4.127489089965820,1.728305238183542,0.9316817740721525,0.8187060356140137,8.562885284423828,3.868116590414801,1.870365655398238
"H20K2905",7742,1.057991526200000,0.01554069109261036,0.2280039489269257,0.05401136728426576,0.02991663434294931,0.01662369072437286,0.2392461001873016,0.05771560057299030,0.02993577648183436,0.06073427200317383,0.8104147315025330,0.2460449615955830,0.1160948242749099,0.06375376880168915,0.9388104677200317,0.3733327824654151,0.1757336582774277,0.6305178999900818,7.740922927856445,3.513156953399355,1.645866772314270
"Impulsion",5034,0.6879268074000000,0.05070002004504204,0.5281707644462585,0.2009426033228671,0.1079256874573050,0.07195660471916199,0.9420484900474548,0.3374120175341174,0.1627058368338671,0.1106671690940857,1.366497755050659,0.4952748839580262,0.2530731186928125,0.2624745965003967,4.190030097961426,1.582813729280084,0.8638326774315059,0.7273008823394775,8.917456626892090,3.604904824180361,1.901159350953299
"K009",25660,3.506595526000000,0.02965923212468624,0.5894804596900940,0.2102293818739743,0.1220932319625179,0.02520585432648659,0.7806983590126038,0.2012594384946283,0.1142586835327068,0.06074113771319389,1.996999740600586,0.4840000543797089,0.2695653378379460,0.2383300065994263,3.764812469482422,1.204261166834659,0.6390922340775010,0.6761849522590637,8.452236175537109,3.066063711702219,1.715741136120070
"K011",14272,1.950355859200000,0.04975426569581032,0.6341981887817383,0.2691836937230431,0.1277212929400840,0.06493990123271942,0.9065760970115662,0.3180517417790091,0.1375966533949915,0.09862554073333740,1.798912882804871,0.6501132022242809,0.3087508917204511,0.2500711977481842,3.882349967956543,1.250408653600033,0.6654067939728685,0.7585648298263550,8.073611259460449,2.719154929053121,1.444844492262625
"K017",14297,1.953772261700000,0.02659173123538494,1.589465975761414,0.1742997310621560,0.1394926811494061,0.02429407089948654,0.9143931865692139,0.1566515497702003,0.09100341775302202,0.05189716815948486,3.490930557250977,0.3509354357150828,0.3014472774447675,0.2211265265941620,4.646633148193359,1.190835432535561,0.6337069902455505,0.4405291676521301,7.652670383453369,2.600021976517690,1.352660580648284
"K023",24596,3.361193435600000,0.01502808835357428,0.3147768080234528,0.08165952030422093,0.05031274014527923,0.01426404062658548,0.2395986914634705,0.07869862986117117,0.04032696588335390,0.04696446284651756,0.7901096940040588,0.2678766212984860,0.1473418014332254,0.05629827827215195,0.7859328389167786,0.2984046036750744,0.1502565791400774,0.5869905352592468,7.244521617889404,2.844501505944085,1.495459358193350
"K036",21746,2.971723550600000,0.03113308362662792,0.7031427621841431,0.1755118139430258,0.1119786211234890,0.04490206390619278,0.7545527815818787,0.2575778651012595,0.1262826963974861,0.05450399592518806,1.379078388214111,0.3743133120561530,0.2310758344979409,0.2538394331932068,3.000815629959106,1.277589966596725,0.5283662877099027,0.5392731428146362,7.217531681060791,2.795559841156509,1.367319539732222
"K053",16270,2.223394747000000,0.03923283889889717,0.6486268043518066,0.2033530986491766,0.1037951802366924,0.07447709143161774,1.124270439147949,0.3689206507036346,0.1670715389659399,0.07968387007713318,1.280202627182007,0.4520148101266756,0.2200630619655646,0.2593449056148529,3.327309608459473,1.220597092053534,0.6504577910725089,0.7283338308334351,7.308216094970703,3.042873992059742,1.639734669912216
