name,COUNT,AREA,MIN (Band 1),MAX (Band 1),MEAN (Band 1),STDDEV (Band 1),MIN (Band 2),MAX (Band 2),MEAN (Band 2),STDDEV (Band 2),MIN (Band 3),MAX (Band 3),MEAN (Band 3),STDDEV (Band 3),MIN (Band 4),MAX (Band 4),MEAN (Band 4),STDDEV (Band 4),MIN (Band 5),MAX (Band 5),MEAN (Band 5),STDDEV (Band 5)
"BDWY",9638,1.317091491800000,0.004059481900185347,0.04800472781062126,0.01407024038259445,0.005747206885332909,0.008424005471169949,0.07765846699476242,0.03441362769632271,0.01457166283235896,0.01129067968577147,0.1070995628833771,0.04548049113806163,0.01741422218052190,0.008862998336553574,0.1122262105345726,0.05612866899685080,0.02465681683701556,0.07798956334590912,0.8004129528999329,0.3995992475187145,0.1690815099622385
"D130-7-1-1",19728,2.695951540800000,0.002916642231866717,0.04514559358358383,0.01028350409515359,0.005277688637165419,0.005868707317858934,0.07879123836755753,0.02365466926663918,0.01033976452031258,0.009069344960153103,0.1542125344276428,0.03230096370439496,0.01619121787636156,0.008791815489530563,0.1130384728312492,0.04380459410749492,0.01862957575406938,0.07841581106185913,0.7547397017478943,0.3840422038104466,0.1410291336532529
"D135-6-2",14943,2.042052102300000,0.003176793688908219,0.06279055029153824,0.01273053049002116,0.006294344912627311,0.004724161233752966,0.08801799267530441,0.02172574072682727,0.01076738611753086,0.008636892773211002,0.1598415076732635,0.03837424986483758,0.02101028424791931,0.008486995473504066,0.1200160384178162,0.04213401352823275,0.02140509782570013,0.07963670790195465,0.7941757440567017,0.3533873975103435,0.1598650017540249
"E6",14494,1.980693513400000,0.002083303406834602,0.06347015500068665,0.008840504034378130,0.007386805738230324,0.001942187431268394,0.05182170122861862,0.007665859728529382,0.006493972109872372,0.007802869658917189,0.1890854388475418,0.02985734330407083,0.02044976730109373,0.009978864341974258,0.1173516437411308,0.04599207188490463,0.01830794343753655,0.09207990020513535,0.8111578226089478,0.4026767824082121,0.1498787605904264
"F11",12189,1.665701202900000,0.002858916763216257,0.06785203516483307,0.01090296838426897,0.007569302516129537,0.005786152090877295,0.08914612233638763,0.02365484205729796,0.009486791807120035,0.009416347369551659,0.1761294156312943,0.03355845201266026,0.02132723390781882,0.01027487032115459,0.1127668321132660,0.04871119066919444,0.01878820378255646,0.08663712441921234,0.7402143478393555,0.4435516627729601,0.1583392680277937
"F3",8172,1.116753649200000,0.003564666258171201,0.07330346852540970,0.01180698475866555,0.008896833053299375,0.003091779071837664,0.05149504169821739,0.009333152949857437,0.007382183226506358,0.01330050174146891,0.2261073738336563,0.04369016538993642,0.02386400091714355,0.01135418005287647,0.08982077986001968,0.04979906351466461,0.01941427111839954,0.08485322445631027,0.7680801749229431,0.4075658466800048,0.1747973684957964
"GL",5298,0.7240040178000000,0.004873487167060375,0.04866133630275726,0.01301643624119517,0.007016155291404013,0.007574499119073153,0.05273496732115746,0.02518074656168696,0.009242582463525833,0.01458739675581455,0.1197971105575562,0.03918554125636362,0.01964527017534616,0.008981131948530674,0.08561683446168900,0.04675266466997548,0.01950625748947577,0.07165426760911942,0.7566457390785217,0.4005860194926692,0.1838280802054819
"GLSJNCT",11222,1.533554754200000,0.004258770961314440,0.03843883797526360,0.01306765652538034,0.005102243452307805,0.008432630449533463,0.07706820219755173,0.03143191507816144,0.01364705732046782,0.01181488204747438,0.1137386709451675,0.04092042224846532,0.01715373352623517,0.009483807720243931,0.1120473444461823,0.05007310211932348,0.02373948124197540,0.07991643995046616,0.6916630864143372,0.3377849764569552,0.1439895620730792
"GWAS-W01",47287,6.462057000700001,0.002293753437697887,0.09920934587717056,0.009486393888856168,0.006178858892140247,0.004083967301994562,0.07958847284317017,0.02185705845176340,0.01012220362674006,0.006692840717732906,0.2726939916610718,0.03042977727322882,0.02283817149421036,0.006121868267655373,0.1104796901345253,0.04196951080063507,0.01752625153486796,0.07028022408485413,0.7820938229560852,0.3903250154688814,0.1358848232747239
"GWAS-W02",25474,3.481177491400000,0.002163115190342069,0.04302213340997696,0.008324743097219832,0.004426599874071670,0.005213989410549402,0.05242330580949783,0.01921969842560700,0.007416590312538709,0.007399990223348141,0.1255856752395630,0.02507060439663096,0.01310428567067772,0.006084471009671688,0.08518777042627335,0.03896272692313803,0.01433044978978327,0.07106469571590424,0.6795695424079895,0.3573822467361584,0.1172334588620614
